DateTime,Temp,ALERT01
6-3-2023 00:59:04,24.7500000000,0
6-3-2023 00:59:10,24.6875000000,0
6-3-2023 00:59:16,24.6875000000,0
6-3-2023 00:59:23,24.6875000000,0
6-3-2023 00:59:29,24.6250000000,0
6-3-2023 00:59:35,24.5625000000,0
6-3-2023 00:59:41,24.6875000000,0
6-3-2023 00:59:47,24.6875000000,0
6-3-2023 00:59:53,24.6875000000,0
6-3-2023 01:00:00,24.5625000000,0
6-3-2023 01:00:06,24.5000000000,0
6-3-2023 01:00:12,24.3750000000,0
6-3-2023 01:00:18,24.3125000000,0
6-3-2023 01:00:24,24.2500000000,0
6-3-2023 01:00:31,24.2500000000,0
6-3-2023 01:00:37,24.2500000000,0
6-3-2023 01:00:43,24.1875000000,0
6-3-2023 01:00:49,24.1875000000,0
6-3-2023 01:00:55,24.1250000000,0
6-3-2023 01:01:01,24.0625000000,0
6-3-2023 01:01:08,24.0000000000,0
6-3-2023 01:01:14,23.9375000000,0
6-3-2023 01:01:20,23.8750000000,0
6-3-2023 01:01:26,23.8750000000,0
6-3-2023 01:01:32,23.8750000000,0
6-3-2023 01:01:39,23.8750000000,0
6-3-2023 01:01:45,23.8750000000,0
6-3-2023 01:01:51,23.8750000000,0
6-3-2023 01:01:57,23.8750000000,0
6-3-2023 01:02:03,23.8750000000,0
6-3-2023 01:02:09,23.8750000000,0
6-3-2023 01:02:16,23.8750000000,0
6-3-2023 01:02:22,23.8750000000,0
6-3-2023 01:02:28,23.8750000000,0
6-3-2023 01:02:34,23.8750000000,0
6-3-2023 01:02:40,23.8750000000,0
6-3-2023 01:02:47,23.8750000000,0
6-3-2023 01:02:53,23.8750000000,0
6-3-2023 01:02:59,23.8750000000,0
6-3-2023 01:03:05,23.8750000000,0
6-3-2023 01:03:11,23.8750000000,0
6-3-2023 01:03:17,23.8750000000,0
6-3-2023 01:03:24,23.8750000000,0
6-3-2023 01:03:30,23.8750000000,0
6-3-2023 01:03:36,23.8750000000,0
6-3-2023 01:03:42,23.8750000000,0
6-3-2023 01:03:48,23.8750000000,0
6-3-2023 01:03:55,23.8750000000,0
6-3-2023 01:04:01,23.8125000000,0
6-3-2023 01:04:07,23.8125000000,0
6-3-2023 01:04:13,23.8125000000,0
6-3-2023 01:04:19,23.8125000000,0
6-3-2023 01:04:25,23.8125000000,0
6-3-2023 01:04:32,23.8125000000,0
6-3-2023 01:04:38,23.9375000000,0
6-3-2023 01:04:44,35.6875000000,1
6-3-2023 01:04:50,54.3125000000,1
6-3-2023 01:04:56,55.5625000000,1
6-3-2023 01:05:03,55.1250000000,1
6-3-2023 01:05:09,42.6250000000,1
6-3-2023 01:05:15,35.5000000000,1
6-3-2023 01:05:21,31.2500000000,1
6-3-2023 01:05:27,29.3750000000,0
6-3-2023 01:05:33,27.5625000000,0
6-3-2023 01:05:40,26.3125000000,0
6-3-2023 01:05:46,25.1875000000,0
6-3-2023 01:05:52,24.5000000000,0
6-3-2023 01:05:58,23.8125000000,0
6-3-2023 01:06:04,23.4375000000,0
6-3-2023 01:06:11,23.0625000000,0
6-3-2023 01:06:17,22.7500000000,0
6-3-2023 01:06:23,22.3750000000,0
6-3-2023 01:06:29,22.1250000000,0
6-3-2023 01:06:35,22.0000000000,0
6-3-2023 01:06:41,21.9375000000,0
6-3-2023 01:06:48,21.8125000000,0
6-3-2023 01:06:54,21.7500000000,0
6-3-2023 01:07:00,21.6250000000,0
6-3-2023 01:07:06,21.5000000000,0
6-3-2023 01:07:12,21.5000000000,0
6-3-2023 01:07:19,21.5625000000,0
6-3-2023 01:07:25,21.6250000000,0
6-3-2023 01:07:31,21.6875000000,0
6-3-2023 01:07:37,21.8125000000,0
6-3-2023 01:07:43,21.8125000000,0
6-3-2023 01:07:49,21.8125000000,0
6-3-2023 01:07:56,21.8125000000,0
6-3-2023 01:08:02,21.8125000000,0
6-3-2023 01:08:08,21.8125000000,0
6-3-2023 01:08:14,21.8750000000,0
6-3-2023 01:08:20,21.9375000000,0
6-3-2023 01:08:26,21.9375000000,0
6-3-2023 01:08:33,22.0000000000,0
6-3-2023 01:08:39,22.1250000000,0
6-3-2023 01:08:45,22.1250000000,0
6-3-2023 01:08:51,22.1875000000,0
6-3-2023 01:08:57,22.1875000000,0
6-3-2023 01:09:04,22.1875000000,0
6-3-2023 01:09:10,22.1875000000,0
6-3-2023 01:09:16,22.1875000000,0
6-3-2023 01:09:22,22.1875000000,0
6-3-2023 01:09:28,22.1875000000,0
6-3-2023 01:09:34,22.1875000000,0
6-3-2023 01:09:41,22.3750000000,0
6-3-2023 01:09:47,22.5000000000,0
6-3-2023 01:09:53,22.6875000000,0
6-3-2023 01:09:59,22.8750000000,0
6-3-2023 01:10:05,23.0000000000,0
6-3-2023 01:10:11,23.1250000000,0
6-3-2023 01:10:18,23.1875000000,0
6-3-2023 01:10:24,23.1875000000,0
6-3-2023 01:10:30,23.3125000000,0
6-3-2023 01:10:36,23.4375000000,0
6-3-2023 01:10:42,23.5000000000,0
6-3-2023 01:10:49,23.6250000000,0
6-3-2023 01:10:55,23.6875000000,0
6-3-2023 01:11:01,23.6875000000,0
6-3-2023 01:11:07,23.6875000000,0
6-3-2023 01:11:13,23.7500000000,0
6-3-2023 01:11:20,23.8750000000,0
6-3-2023 01:11:26,23.9375000000,0
6-3-2023 01:11:32,23.9375000000,0
6-3-2023 01:11:38,24.0000000000,0
6-3-2023 01:11:44,24.0000000000,0
6-3-2023 01:11:50,24.0625000000,0
6-3-2023 01:11:57,24.0625000000,0
6-3-2023 01:12:03,24.0625000000,0
6-3-2023 01:12:09,24.0625000000,0
6-3-2023 01:12:15,24.0625000000,0
6-3-2023 01:12:21,24.0625000000,0
6-3-2023 01:12:27,24.0625000000,0
6-3-2023 01:12:34,24.0625000000,0
6-3-2023 01:12:40,24.0625000000,0
6-3-2023 01:12:46,24.0625000000,0
6-3-2023 01:12:52,24.0625000000,0
6-3-2023 01:12:58,24.0625000000,0
